Listing,Lat,Lon,Address,City,Type,List_Price,Sold_Price,Bedroom,Bathroom,Garage,Tax,Maintenance,Age,Size,Lot_Size,Days,List_Date
E4701646,43.67394,-79.32214,333 Ashdale Ave,Toronto,Semi-Detached,649000,978601,3+1 Bedroom,3 Bathroom,0 Garage,3268,,-,1750 feet²,19.32 x 123.83 feet,7,2020-02-25
C4674893,43.6504,-79.39213,Unit 25 - 15 Beverley St,Toronto,Condo Apt,779000,765000,1+1 Bedroom,1 Bathroom,1 Garage,3388,$869/month,0-5,700-799 feet²,,18,2020-01-23
W4742183,43.66966,-79.75259,34 Alderway Ave,Brampton,Detached,759900,750000,4 Bedroom,2 Bathroom,1 Garage,4590,,-,1750 feet²,51 x 100.00 feet,21,2020-04-14
E4713387,43.67301,-79.30028,78 Wheeler Ave,Toronto,Detached,1649000,1750000,3+1 Bedroom,4 Bathroom,1 Garage,6821,,100+,2000-2500 feet²,24.83 x 102.00 feet,3,2020-03-06
W4770640,43.677,-79.44175,118 Westmount Ave,Toronto,Detached,1889000,1889000,5+1 Bedroom,3 Bathroom,3 Garage,6946,,-,2250 feet²,30 x 113.00 feet,8,2020-05-26
C4670445,43.65897,-79.36288,Unit 1209 - 200 Sackville St,Toronto,Condo Apt,629000,615000,1+1 Bedroom,2 Bathroom,1 Garage,2103,$420/month,0-5,600-699 feet²,,12,2020-01-16
C4684994,43.70745,-79.38171,545 Soudan Ave,Toronto,Detached,2490000,2490000,4 Bedroom,4 Bathroom,1 Garage,8865,,-,2250 feet²,25 x 145.00 feet,6,2020-02-05
C4734847,43.77085,-79.4119599,Unit 1209 - 238 Doris Ave,North York,Condo Apt,789000,750000,2 Bedroom,2 Bathroom,1 Garage,2890,$645/month,-,1000-1199 feet²,,15,2020-03-31
C4685959,43.6429,-79.3806,Unit F45 - 65 Bremner Blvd,Toronto,Parking Space,60000,55000,Bedroom,0 Bathroom,Garage,0,$110/month,-,- feet²,,34,2020-02-06
W4756249,43.63585,-79.51081,41 Norseman St,Etobicoke,Detached,1175000,1200000,3+3 Bedroom,3 Bathroom,1 Garage,4788,,-,2250 feet²,45 x 118.00 feet,4,2020-05-07
W4693140,43.74095,-79.60077,43 Elmvale Cres,Etobicoke,Detached,800000,865000,3+3 Bedroom,3 Bathroom,0 Garage,2686,,-,1300 feet²,46 x 120.00 feet,12,2020-02-12
N4686635,43.85104,-79.50448,29 Leith Crt,Vaughan,Detached,1198000,1175000,4+1 Bedroom,4 Bathroom,2 Garage,5189,,-,2750 feet²,50.52 x 124.61 feet,3,2020-02-07
N4729387,43.77757,-79.61247,36 Agincourt Rd,Vaughan,Freehold Townhouse,729000,710000,3 Bedroom,3 Bathroom,1 Garage,3025,,-,1500-2000 feet²,20 x 105.00 feet,5,2020-03-23
